V1,V2
Uninspired,977
Sophisticated,710
Aggressive,2602
Edgy,4275
Sociable,707
Laid.back,1213
Wholesome,21
Uplifting,935
Intriguing,679
Legendary,164
Free,1917
Thoughtful,4622
Outspoken,360
Serious,2241
Unattractive,3507
Confident,6511
Old,56
Youthful,5140
Boring,7360
Current,7675
Colourful,1119
Stylish,5557
Cheap,2165
Irrelevant,553
Heartfelt,1063
Calm,6537
Pioneer,70
Outgoing,2043
Inspiring,3045
Beautiful,5523
Fun,5595
Authentic,7114
Credible,5551
Way.out,254
Cool,7357
Catchy,1089
Sensitive,2903
Mainstream,1369
Superficial,2492
Annoying,1644
Dark,88
Passionate,4498
Not.authentic,384
Background,798
Timeless,4741
Depressing,3992
Original,7903
Talented,8141
Worldly,44
Distinctive,10309
Approachable,5014
Genius,536
Trendsetter,2233
Noisy,3304
Upbeat,5544
Relatable,467
Energetic,7551
Exciting,975
Emotional,1191
Nostalgic,110
None.of.these,5533
Progressive,109
Sexy,2301
Over,1173
Rebellious,629
Fake,1950
Cheesy,3006
Popular,1549
Superstar,352
Relaxed,1039
Intrusive,239
Unoriginal,4454
Dated,4035
Iconic,139
Unapproachable,1019
Classic,4944
Playful,2507
Arrogant,1869
Warm,5108
Soulful,871
Good.Lyrics,8471
